-0.08333337361790437+1.841675811944026*I,0.08333337445123812-1.8416758303607843*I
-0.02945424286210979+0.021727668517468584*I,0.15502233901227996-0.11435615611068503*I
-0.028006603137128196+0.020003490387942753*I,0.1555922482947261-0.11113050832915472*I
-0.026548239945325635+0.01833250683780748*I,0.15616612651168776-0.10783828185994303*I
-0.02507905618900164+0.01671539746238275*I,0.1567441109777672-0.10447124066934474*I
-0.023598949374259787+0.01515299133362833*I,0.15732633965015458-0.10101994895885215*I
-0.022107811600915964+0.013646286546667554*I,0.15791295128603916-0.09747348229573129*I
-0.020605529542782962+0.012196474839069207*I,0.15850408559864482-0.0938190444404589*I
-0.019091984418483386+0.01080497298368742*I,0.1590998834123519-0.09004144903418262*I
-0.017567051952904696+0.009473463425650417*I,0.15970048681735977-0.08612240260794954*I
-0.01603060232937227+0.008203947852393189*I,0.16030603932432674-0.08203948672788063*I
-0.014482500132580851+0.006998819384691548*I,0.16091668601941916-0.07776466847042487*I
-0.012922604282290006+0.005860962499076588*I,0.16153257372019697-0.07326204039621248*I
-0.011350767957754129+0.0047938959559466685*I,0.16215385113275224-0.0684842377255579*I
-0.009766838512824692+0.0038019858164003825*I,0.16278066901052332-0.0633664408344133*I
-0.00817065738162829+0.0028907800681921905*I,0.16341318031520224-0.057815612926966534*I
-0.006562059974690903+0.0020675722537133873*I,0.16405154038015773-0.05168931926516452*I
-0.004940875565344951+0.0013424477104546546*I,0.16469590707680087-0.04474827193124583*I
-0.0033069271662220998+0.0007305320719217255*I,0.16534644098432574-0.036526621859397264*I
-0.0016600313955996149+0.0002582301041468802*I,0.16600330556326773-0.02582303623772437*I
1.6664084828626993e-9,0.16664084744893978
0.0014151807951880196,0.14151793800086312
0.002629983399849759,0.13149910424293537
0.0037191479491677517,0.12397155698173908
0.004709349867992122,0.11773371726637347
0.005615985218969365,0.11231968191545069
0.006449412989589964,0.10749019857813277
0.007217205476482322,0.10310292064933006
0.007925195775514877,0.09906493481081896
0.00857804235008851,0.09531157107747541
0.009179564430231973,0.09179563512275608
0.00973295570746767,0.08848140747866892
0.010240927886400965,0.08534105860825304
0.010705811200842383,0.08235238751783458
0.011129627185010715,0.07949733135740991
0.011514142821517994,0.07676094702605674
0.011860911762457314,0.07413069388218986
0.012171306319027256,0.07159591531216532
0.012446542695666994,0.06914745557884688
0.012687701174164411,0.06677737108626684
0.012895742450948298,0.06447870903080603
0.013071520994395212,0.062245335104485044
0.013215796058228244,0.06007179753413758
0.013329240825396806,0.05795321846028095
0.013412450041336252,0.05588520617701745
0.01346594641159893,0.05386378349184437
0.013490185976885545,0.05188532868473944
0.013485562632105427,0.04994652641718578
0.01345241192085604,0.04804432657290275
0.013391014209587215,0.04617590947526937
0.01330159732464058,0.04433865627084671
0.01318433871864337,0.0425301235269101
0.013039367219497446,0.04074802128755384
0.012866764404418076,0.038990193983382215
0.01266656563264745,0.03725460370618061
0.012438760763322721,0.03553931545122732
0.012183294578238706,0.03384248399948295
0.011900066924738337,0.03216234217058084
0.011588932588492844,0.030497190219791942
0.011249700902156564,0.028845386188981276
0.010882135091949892,0.02720533704974129
0.010485951360015601,0.025575490498196823
0.01006081769840196,0.023954327282996873
0.009606352424584595,0.022340353956235015
0.009122122427090727,0.0207320959540222
0.008607641104765862,0.01912809091885545
0.008062365979627771,0.01752688218338902
0.007485695958867176,0.015927012339568197
0.006876968216781364,0.014327016819814992
0.006235454662124406,0.012725417418102514
0.00556035795034675,0.011120715678279186
0.004850806993390553,0.009511386075052336
0.004105851911910584,0.007895868909522874
0.003324458365511891,0.006272562835445777
0.00250550118674936,0.004639816926576279
0.00164775723132627,0.002995922184303723
0.0007498973434535917,0.0013391023751117281
-0.00018952268253693435,-0.00033249592844206144
-0.0011720722813640147,-0.002020814243372193
-0.002199457603170584,-0.003727894179477359
-0.0032735344941372097,-0.005455890732630503
-0.004396323200270727,-0.007207087095409598
-0.005570025063490541,-0.008983911247824883
-0.006797041523961611,-0.010788954628685815
-0.008079995815788825,-0.012624993264904516
-0.009421757808576398,-0.014495011790194273
-0.010825472547084948,-0.016402230883428237
-0.012294593155510606,-0.018350138764192864
-0.013832918918180115,-0.020342527521698295
-0.015444639530380807,-0.02238353522687747
-0.017134386743017347,-0.024477694997486282
-0.018907294917369963,-0.026629992466295827
-0.020769072381374983,-0.028845933462382845
-0.02272608596337765,-0.031131624180906037
-0.02478546171266961,-0.033493866726663435
-0.02695520564357588,-0.03594027371223085
-0.02924434944428966,-0.03847940665723104
-0.03166312757965107,-0.04112094437459951
-0.034223194212096665,-0.04387588945299714
-0.03693789112944529,-0.04675682362262917
-0.03982258171625023,-0.049778226523084945
-0.042895071408918205,-0.05295687762882645
-0.0461761428533646,-0.05631236864663525
-0.04969024531039378,-0.059867764712911
-0.05346639469131758,-0.06365046911287248
-0.05753936615381293,-0.06769337114926965
-0.06195130086249786,-0.07203639551410917
-0.06675391175538771,-0.07672863331965674
-0.07201157694597002,-0.08183133650870072
-0.07780578556350876,-0.08742222998796229
-0.0842417114730596,-0.09360190059671175
-0.09145826336326318,-0.100503585009041
-0.09964407365695492,-0.10830877453681215
-0.10906419594248222,-0.11727332770940746
-0.1201074437391031,-0.12777387495889825
-0.13337703945355978,-0.14039688215746415
-0.14988291668342837,-0.15612803658557084
-0.17151304844560514,-0.17681757389425712
-0.20247756943303272,-0.2066097626193215
-0.2560009706335573,-0.258586836411807
