-0.09897239375754818+0.3348283768519419*I,0.11468411924031215-0.3879819011955515*I
-0.09894736180051963+0.3335695689876003*I,0.11478812407007062-0.3869716622474675*I
-0.09892166092561093+0.33231907651235837*I,0.11489159358249347-0.3859687344623063*I
-0.0988952985088434+0.33107678767308063*I,0.11499453448696367-0.38497301339861717*I
-0.09886828179786641+0.32984259300785407*I,0.11509695337466351-0.3839843967959232*I
-0.09884061791496637+0.3286163852832016*I,0.11519885672139271-0.38300278451425346*I
-0.09881231385998603+0.327398059433443*I,0.11530025089030169-0.3820280784757571*I
-0.0987833765131126+0.32618751250212624*I,0.11540114213449068-0.3810601826083272*I
-0.09875381263780728+0.32498464358540224*I,0.11550153659979256-0.3800990027911021*I
-0.09872362888319712+0.32378935377736423*I,0.11560144032694558-0.37914444680188375*I
-0.09869283178685528+0.322601546117142*I,0.11570085925423668-0.3781964242662441*I
-0.09866142777726873+0.32142112553777785*I,0.11579979921979663-0.3772548466083643*I
-0.0986294231762822+0.32024799881677735*I,0.11589826596388351-0.3763196270034943*I
-0.09859682420147285+0.3190820745282717*I,0.1159962651311006-0.37539068033197476*I
-0.09856363696845713+0.3179232629967324*I,0.11609380227255026-0.3744679231347605*I
-0.09852986749313301+0.3167714762521759*I,0.11619088284792671-0.37355127357038753*I
-0.09849552169385971+0.3156266279867997*I,0.11628751222754999-0.37264065137332497*I
-0.09846060539357603+0.3144886335130002*I,0.1163836956943416-0.37173597781366435*I
-0.09842512432186136+0.31335740972271187*I,0.11647943844574646-0.37083717565808716*I
-0.09838908411693871+0.31223287504802494*I,0.11657474559559973-0.3699441691320695*I
-0.09835249032762454+0.31111494942303003*I,0.11666962217594398-0.36905688388327273*I
-0.0983153484152243+0.31000355424684384*I,0.11676407313879458-0.3681752469460764*I
-0.09827766375537776+0.30889861234777366*I,0.11685810335785826-0.36729918670721234*I
-0.09823944163985486+0.30780004794857757*I,0.11695171763020482-0.366428632872457*I
-0.09820068727830308+0.30670778663278003*I,0.11704492067789309-0.36556351643434476*I
-0.09816140579994938+0.30562175531200647*I,0.11713771714955437-0.3647037696408642*I
-0.09812160225525632+0.304541882194296*I,0.11723011162193243-0.3638493259651007*I
-0.09808128161753615+0.30346809675336217*I,0.11732210860138427-0.3630001200757936*I
-0.0980404487845214+0.3024003296987631*I,0.11741371252533955-0.3621560878087713*I
-0.09799910857989609+0.3013385129469523*I,0.11750492776372348-0.3613171661392374*I
-0.0979572657547869+0.30028257959317695*I,0.11759575862034154-0.3604832931548738*I
-0.09791492498921611+0.2992324638841944*I,0.11768620933422863-0.3596544080297338*I
-0.09787209089351813+0.2981881011917795*I,0.11777628408096387-0.3588304509988978*I
-0.09782876800971972+0.2971494279869927*I,0.11786598697395133-0.3580113633338631*I
-0.0977849608128855+0.29611638181518635*I,0.11795532206566794-0.3571970873186457*I
-0.09774067371243025+0.2950889012717201*I,0.11804429334888067-0.356387566226565*I
-0.09769591105339819+0.2940669259783636*I,0.11813290475783222-0.35558274429769177*I
-0.09765067711771037+0.29305039656036364*I,0.11822116016939707-0.35478256671693625*I
-0.09760497612538212+0.2920392546241507*I,0.11830906340420941-0.35398697959275216*I
-0.09755881223571017+0.291033442735666*I,0.11839661822776257-0.3531959299364385*I
-0.09751218954843065+0.29003290439928775*I,0.11848382835148108-0.3524093656420187*I
-0.09746511210484998+0.2890375840373358*I,0.11857069743376761-0.3516272354666766*I
-0.09741758388894738+0.288047426970137*I,0.11865722908102273-0.3508494890117319*I
-0.09736960882845196+0.28706237939663165*I,0.11874342684864175-0.35007607670413715*I
-0.09732119079589338+0.2860823883755052*I,0.11882929424198574-0.3493069497784795*I
-0.09727233360962828+0.28510740180682476*I,0.11891483471733086-0.3485420602594687*I
-0.09722304103484176+0.28413736841416976*I,0.11900005168279348-0.3477813609449001*I
-0.09717331678452623+0.28317223772723366*I,0.11908494849923495-0.34702480538907077*I
-0.09712316452043661+0.28221196006488974*I,0.11916952848114343-0.34627234788664196*I
-0.09707258785402402+0.2812564865186982*I,0.1192537948974963-0.34552394345692594*I
-0.09702159034734728+0.2803057689368485*I,0.11933775097260121-0.3447795478285904*I
-0.09697017551396403+0.2793597599085151*I,0.11942139988691877-0.34403911742476145*I
-0.09691834681980113+0.278418412748623*I,0.11950474477786507-0.34330260934851925*I
-0.09686610768400529+0.2774816814830006*I,0.11958778874059653-0.34256998136876604*I
-0.09681346147977456+0.2765495208339165*I,0.11967053482877615-0.3418411919064628*I
-0.096760411535171+0.2756218862059815*I,0.11975298605532285-0.34111620002121723*I
-0.09670696113391528+0.27469873367241127*I,0.11983514539314341-0.3403949653982168*I
-0.09665311351616324+0.2737800199616318*I,0.1199170157758479-0.33967744833549174*I
-0.09659887187926552+0.2728657024442237*I,0.11999860009844909-0.33896360973150286*I
-0.09654423937851021+0.2719557391201896*I,0.12007990121804632-0.3382534110730395*I
-0.09648921912785013+0.2710500886065407*I,0.12016092195449483-0.3375468144234232*I
-0.09643381420061038+0.27014871012518615*I,0.12024166509105617-0.33684378241100255*I
-0.09637802763018768+0.2692515634911238*I,0.12032213337504247-0.3361442782179358*I
-0.09632186241072747+0.2683586091009166*I,0.12040232951843848-0.3354482655692491*I
-0.09626532149778988+0.26746980792145164*I,0.12048225619851369-0.33475570872216365*I
-0.09620840780900082+0.26658512147896946*I,0.12056191605842105-0.3340665724556832*I
-0.09615112422468944+0.265704511848359*I,0.12064131170778238-0.3333808220604357*I
-0.09609347358851093+0.2648279416427081*I,0.12072044572326056-0.33269842332875926*I
-0.0960354587080575+0.2639553740031046*I,0.1207993206491204-0.33201934254502896*I
