-0.02945424286210979-0.021727668517468584*I,0.15502233901227996+0.11435615611068503*I
-0.028006603137128196-0.020003490387942753*I,0.1555922482947261+0.11113050832915472*I
-0.026548239945325635-0.01833250683780748*I,0.15616612651168776+0.10783828185994303*I
-0.02507905618900164-0.01671539746238275*I,0.1567441109777672+0.10447124066934474*I
-0.023598949374259787-0.01515299133362833*I,0.15732633965015458+0.10101994895885215*I
-0.022107811600915964-0.013646286546667554*I,0.15791295128603916+0.09747348229573129*I
-0.020605529542782962-0.012196474839069207*I,0.15850408559864482+0.0938190444404589*I
-0.019091984418483386-0.01080497298368742*I,0.1590998834123519+0.09004144903418262*I
-0.017567051952904696-0.009473463425650417*I,0.15970048681735977+0.08612240260794954*I
-0.01603060232937227-0.008203947852393189*I,0.16030603932432674+0.08203948672788063*I
-0.014482500132580851-0.006998819384691548*I,0.16091668601941916+0.07776466847042487*I
-0.012922604282290006-0.005860962499076588*I,0.16153257372019697+0.07326204039621248*I
-0.011350767957754129-0.0047938959559466685*I,0.16215385113275224+0.0684842377255579*I
-0.009766838512824692-0.0038019858164003825*I,0.16278066901052332+0.0633664408344133*I
-0.00817065738162829-0.0028907800681921905*I,0.16341318031520224+0.057815612926966534*I
-0.006562059974690903-0.0020675722537133873*I,0.16405154038015773+0.05168931926516452*I
-0.004940875565344951-0.0013424477104546546*I,0.16469590707680087+0.04474827193124583*I
-0.0033069271662220998-0.0007305320719217255*I,0.16534644098432574+0.036526621859397264*I
-0.0016600313955996149-0.0002582301041468802*I,0.16600330556326773+0.02582303623772437*I
1.6669248805531666e-9,0.16669248721772703
0.0019315564726652694,0.19315545411107168
0.004090562557307101,0.2045280256013416
0.006402702469532004,0.21342334450995143
0.008841736252887547,0.22104335106135045
0.01139271816699733,0.22785431776908263
0.014045754829109457,0.2340958748025114
0.016793755285177445,0.23991075551528374
0.019631384003125318,0.24539226936503244
0.022554496817235894,0.25060549234645485
0.02555980607248427,0.2555980351650388
0.028644667505406216,0.26040604455768845
0.03180693730223599,0.26505778876381714
0.035044872228332205,0.26957591948133053
0.03835705754032217,0.27397896286094636
0.041742353561405966,0.2782823385238835
0.045199855225815766,0.28249907750515624
0.04872886089950517,0.2866403413711868
0.052328848003805974,0.2907158060924884
0.05599945373952931,0.29473395153784104
0.05974045971147843,0.29870228362227796
